License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Zip Code,Square Footage,Retail_Address
724233,Store,JAC,KYJW CORPORATION,7 ELEVEN STORE #37035A,478,3RD AVE,10016,0,478 3RD AVE
715115,Store,JAC,7 ELEVEN INC,7-ELEVEN STORE# 37116H,2256,2ND AVE,10029,2000,2256 2ND AVE
721360,Store,JAC,7 ELEVEN INC,7 ELEVEN STORE # 37176H,2726,FREDERICK DOUGLASS BLVD,10030,2000,2726 FREDERICK DOUGLASS BLVD
722543,Store,JAC,7 ELEVEN INC,7 ELEVEN STORE # 37194H,256,W 116TH ST,10026,0,256 W 116TH ST
724493,Store,JAC,K & N STORES INC,7 ELEVEN STORE # 37539A,801,AMSTERDAM AVE,10025,0,801 AMSTERDAM AVE
627888,Store,JAC,PAUL SEVEN ELEVEN 2 INC,7-ELEVEN STORE 39102A,140,CHURCH ST,10007,1000,140 CHURCH ST
708775,Store,JAC,MANAJ 103 BODHAN INC,7 ELEVEN STORE #39253B,103,WEST 14TH ST,10011,3800,103 WEST 14TH ST
628578,Store,JAC,535 8TH AVENUE CORP,7-ELEVEN STORE 39308A,535,8TH AVE,10018,10000,535 8TH AVE
730033,Store,JAC,SAMSUL SHIMMO RETAIL MANAGEMENT L,7 ELEVEN STORE # 39392B,395,3RD AVE,10016,3000,395 3RD AVE
730402,Store,JAC,GEN 2 ENTERPRISES INC,7 ELEVEN STORE # 39875A,589,8TH AVE,10018,0,589 8TH AVE
626039,Store,JAC,SOLANKI JIMMY K,7-ELEVEN STR 33570A,105-107,E 23RD ST,10010,1200,105 107 E 23RD ST
734985,Store,JAC,2256 SECOND AVENUE CONVENIENCE LL,7 ELEVEN STROE #37116A,2256,2ND AVE,10029,0,2256 2ND AVE
627655,Store,JAC,7TH AVENUE ARISTOCRATIC DELI INC,7TH AVE ARISTOCRATIC DL,208,W 23RD ST,10011,3000,208 W 23RD ST
713223,Store,JAC,7TH AVE DELI GROCERY CORP,7TH AVE DELI GROCERY,2417,ADAM CLAYTON POWELL BLVD,10030,1500,2417 ADAM CLAYTON POWELL BLVD
628468,Store,JAC,7TH AVE HARLEM FOOD CORP,7TH AVE HARLEM FOOD,2299,7TH AVE,10030,1200,2299 7TH AVE
713217,Store,JAC,7TH AVENUE GROCERY CORP,7TH AVENUE GROCERY,2588,7TH AVE,10039,1000,2588 7TH AVE
725289,Store,JAC,7TH HEAVEN GOURMET DELI INC,7TH HEAVEN GOURMET DELI,2496,7TH AVE,10030,2400,2496 7TH AVE
627020,Store,JAC,7TH ST VILLAGE FARM INC,7TH ST VILLAGE FARM,113,1ST AVE,10003,2000,113 1ST AVE
620172,Store,JAC,809 LEX GROCERY INC,809 LEX GROCERY,809,LEXINGTON AVE,10065,2000,809 LEXINGTON AVE
627330,Store,JAC,82 CORNER MARKET INC,82 CORNER MARKET,1576,1ST AVE,10028,800,1576 1ST AVE
629208,Store,JAC,82ND STREET GROCERY INC,82ND STREET GROCERY,454,AMSTERDAM AVE,10024,1800,454 AMSTERDAM AVE
624595,Store,JAC,840 ST NICHOLAS FOOD CORP,840 ST NICHOLAS FD MKT,840,ST NICHOLAS AVE,10031,1700,840 ST NICHOLAS AVE
715960,Store,JAC,844 DELI GROCERY INC,844 DELI GROCERY,844,AMSTERDAM AVE,10025,0,844 AMSTERDAM AVE
712368,Store,JAC,844 GREEN DELI GROCERY INC,844 GREEN DELI GROCERY,844,AMSTERDAM AVE,10025,0,844 AMSTERDAM AVE
718672,Store,JAC,84TH STR CORNER DELI CORP,84TH STR CORNER DELI,1624,2ND AVE.,10028,0,1624 2ND AVE
629006,Store,JAC,85 DELI MINI MARKET CORP,85 DELI MINI MARKET,5008,BROADWAY,10034,1500,5008 BROADWAY
723339,Store,JAC,87 ST DELI INC 1,87 ST DELI,562,AMSTERDAM AVE,10024,0,562 AMSTERDAM AVE
628070,Store,JAC,87 ST DELI INC,87 ST DELI INC,1665,1ST AVE,10028,1700,1665 1ST AVE
628689,Store,JAC,886 G&G CORP,886 G&G,886,10TH AVE,10019,900,886 10TH AVE
719088,Store,JAC,8TH AVE DELI GROCERY INC,8TH AVE DELI GROCERY,2712,FREDERICK DOUGLAS BLVD,10030,2000,2712 FREDERICK DOUGLAS BLVD
730666,Store,A,8TH AVENUE MINI MALL INC,8TH AVENUE MINI MALL,2528,FREDERICK DOUGLAS BLVD,10030,1800,2528 FREDERICK DOUGLAS BLVD
712216,Store,JAC,8TH AVENUE TOBACCO & MAGAZINE INC,8TH AVENUE TOBACCO & MA,334,9TH AVE,10001,600,334 9TH AVE
628671,Store,JAC,900 PARKSIDE GOURMET INC,900 PARKSIDE GORMT DELI,900,COLUMBUS AVE FRONT,10025,800,900 COLUMBUS AVE
625670,Store,JAC,901 COLUMBUS DELI CORP,901 COLUMBUS DELI,901,COLUMBUS AVE,10025,1600,901 COLUMBUS AVE
627088,Store,JAC,91 CATHERINE GROCERY CORP,91 CATHERINE GROCERY,91,HAMILTON PL,10031,1500,91 HAMILTON PL
