License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Zip Code,Square Footage,Retail_Address
733149,Store,A,SPEEDWAY LLC,SPEEDWAY LLC,719,NEW LOUDON RD,12110,300,719 NEW LOUDON RD
704590,Store,JAC,1250 SELKIRK INC,1250 SELKIRK,1250,RTE 9W & 396,12158,3000,1250 RTE 9 W
727909,Store,JAC,RED-KAP SALES INC,1667 GENERAL STORE,1667,WESTERN AVENUE,12203,2000,1667 WESTERN AVENUE
720557,Store,JAC,SAEED SADIQ SAIKA NOREEN,19 STREET QUICK STOP,315,19TH STREET,12189,1200,315 19TH STREET
15890,Store,A,AZIZ MOHAMMAD S,24 HR ALBANY NEWS,8,CENTRAL AVE,12210,1800,8 CENTRAL AVE
735254,Store,JAC,7-ELEVEN INC,7-ELEVEN,477,DELAWARE AVE,12209,0,477 DELAWARE AVE
708848,Store,JAC,ADVANCED FRESH CONCEPTS FRANCHISE,AFC SUSHI @ PRICE CHOPP,873,NEW LOUDON RD,12110,0,873 NEW LOUDON RD
716318,Store,JAC,ADVANCED FRESH CONCEPTS FRANCHISE,AFC SUSHI @ PRICE CHOPP,1706,WESTERN AVE,12084,200,1706 WESTERN AVE
713889,Store,JAC,ADVANCED FRESH CONCEPTS FRANCHISE,AFC SUSHI @ PRICE CHOPP,329,GLENMONT RD,12077,0,329 GLENMONT RD
715759,Store,JAC,ADVANCED FRESH CONCEPTS FRANCHISE,AFC SUSHI @PRICE CHOPPE,1395,NEW SCOTLAND RD,12159,2000,1395 NEW SCOTLAND RD
723927,Store,JAC,ADVANCED FRESH CONCEPTS FRAN CORP,AFC SUSHI@ PRICE CHOPPE,2080,WESTERN AVE,12084,400,2080 WESTERN AVE
10231,Store,JABC,KINGLENDER INC,AIRPORT MOBIL,1114,TROY SCHENECTADY RD,12110,2500,1114 TROY SCHENECTADY RD
729156,Store,JAC,309 CENTRAL LLC,ALADDIN HALAL MARKET,309A,CENTRAL AVE,12206,3000,309A CENTRAL AVE
720300,Store,JAC,AL AQSA MEAT AND GROCER IMPORT LL,AL AQSA MEAT AND GROCER,200,TROY SHCENECTADY RD,12110,1200,200 TROY SHCENECTADY RD
15724,Store,JAC,ALBANY BEVERAGE CORP,ALBANY BEVERAGE,3899,CARMEN RD,12303,9600,3899 CARMEN RD
11003,Store,JAC,ALBANY DISTILLING CO INC THE,ALBANY DISTILLING CO,78,MONTGOMERY ST,12207,0,78 MONTGOMERY ST
717894,Store,JAC,ALBANY FAST FOOD INC,ALBANY FAST FOOD,9,NEW SCOTLAND AVE,12208,0,9 NEW SCOTLAND AVE
729938,Store,A,ALBANY MONNAT CORP,ALBANY MONNAT,415,RT 9W,12077,1500,415 RT 9 W
708806,Store,JAC,HAFEEZ TAHIR,ALBANY NEWS DELI,396,CENTRAL AVE,12206,1600,396 CENTRAL AVE
722623,Store,A,ALDI INC,ALDI #81,1885,CENTRAL AVENUE,12205,1700,1885 CENTRAL AVENUE
723246,Store,JAC,ALIBABA HALAL MEAT & GROCERIES LL,ALIBABA HALAL MEAT & GR,21,CENTRAL AVE,12210,1500,21 CENTRAL AVE
10348,Store,JAC,HUSSAIN JARRAR,ALI BABAS INDIAN SPICES,10,FULLER RD,12205,400,10 FULLER RD
10962,Store,JAC,OAM GANESH CORP,ALLEN MINI MART,136,N ALLEN ST,12206,1200,136 N ALLEN ST
727298,Store,JAC,ALL THE WAY UP GROCERY,ALL THE WAY UP GROCERY,106,ONTARIO STREET,12206,1500,106 ONTARIO STREET
15122,Store,JAS,ALTAMONT COUNTRY VALUES INC,ALTAMONT AGWAY,106,PROSPECT TERRACE,12009,5000,106 PROSPECT TERRACE
15621,Store,JABCP,ALTAMONT ORCHARDS INC,ALTAMONT ORCHARDS,6654,DUNNSVILLE RD,12009,8000,6654 DUNNSVILLE RD
10499,Store,JAC,ZAID SALEH N,A&M GROCERY,32,N SWAN ST,12210,1500,32 N SWAN ST
10134,Store,JAC,ANDYS ITALIAN FOOD&DELI LTD,ANDYS ITALIAN FOOD&DELI,256,DELAWARE AVE,12209,1000,256 DELAWARE AVE
10723,Store,A,AGOSTINI ANGIE,ANGELS LASTING IMPRESSI,,AGY 3 & 4 EMPIRE STATE PLAZA,12223,400,
734738,Store,JAC,A PINCH OR A POUND LLC,A PINCH OR A POUND ALBA,1,CROSSGATES MALL RD,12203,0,1 CROSSGATES MALL RD
734739,Store,JAC,A PINCH OR A POUND LLC,A PINCH OR A POUND COLO,131,COLONIE CENTER,12205,0,131 COLONIE CENTER
735243,Store,JAC,7-ELEVEN INC,A PLUS #40417H,1465,WASHINGTON AVE,12206,0,1465 WASHINGTON AVE
735256,Store,JAC,7-ELEVEN INC,A PLUS #40431H,902,LOUDON RD,12110,0,902 LOUDON RD
10615,Store,JAC,DUNCO INC,A PLUS SUNOCO,656,ALBANY SHAKER RD,12211,1800,656 ALBANY SHAKER RD
731013,Store,JAC,LITHIA ARMORY GARAGE LLC,ARMORY MINI MART,926,CENTRAL AVENUE,12205,0,926 CENTRAL AVENUE
10879,Store,JAC,ASIAN SUPERMARKET GROUP INC,ASIAN SUPERMARKET,1245,CENTRAL AVE,12205,14000,1245 CENTRAL AVE
714291,Store,JAC,A&Y DELI GROCERY INC,A&Y DELI GROCERY,92,LEXINGTON AVE,12206,1200,92 LEXINGTON AVE
10467,Store,JAC,BALLTOWN SERVICE INC,BALLTOWN SERVICE,370,NEW KARNER RD,12205,1200,370 NEW KARNER RD
726213,Store,JAC,BA'S BEES LLC,BA'S BEES,326,WATERVLIET-SHAKER ROAD,12189,182,326 WATERVLIET-SHAKER ROAD
726258,Store,A,JAMIG LLC,BEEF JERKY OUTLET,640,NEW LOUDON RD STE 102,12110,950,640 NEW LOUDON RD
723274,Store,JAC,BENTO NOUVEAU INC,BENTO SUSHI,579,TROY SCHENECTADY RD,12110,100,579 TROY SCHENECTADY RD
723047,Store,JAC,BENTO NOUVEAU INC,BENTO SUSHI,180,DELAWARE AVE,12054,400,180 DELAWARE AVE
723051,Store,JAC,BENTO NOUVEAU INC,BENTO SUSHI,5239,WESTERN TPK,12009,400,5239 WESTERN TPK
723046,Store,JAC,BENTO NOUVEAU INC,BENTO SUSHI,96,WOLF RD,12205,400,96 WOLF RD
716888,Store,JAC,WOLFF MAX H BERBEN JOSEPH D,BERBEN AND WOLFFS,475,STATE ST,12203,0,475 STATE ST
712012,Store,A,BIG LOTS STORES INC,BIG LOTS #1264,1892,CENTRAL AVE,12205,26000,1892 CENTRAL AVE
10643,Store,A,BIMBO BAKERIES USA INC,BIMBO BAKERIES USA,40,FULLER RD,12205,0,40 FULLER RD
15003,Store,A,BIMBO BAKERIES USA INC,BIMBO BAKERIES USA,1092,RT 9,12047,2400,1092 RT
15874,Store,JABC,BJS WHOLESALE CLUB INC,BJS WHOLESALE CLUB 07,1440,CENTRAL AVE,12205,105000,1440 CENTRAL AVE
722121,Store,JAC,1095 LOUDON INC,BOGHT CORNERS MOBIL,1095,LOUDON ROAD,12047,3700,1095 LOUDON ROAD
10090,Store,JAC,BOSCOVS DEPARTMENT STORE LLC,BOSCOVS CANDY DEPT,131,COLONIE CENTER,12205,500,131 COLONIE CENTER
11025,Store,JAC,FAREH ABDULHALEEM,BOULEVARD GROCERY,139,HENRY JOHNSON BLVD,12210,1200,139 HENRY JOHNSON BLVD
720213,Store,JAC,BREAKTHROUGH AFRICAN MARKET LLC,BREAKTHROUGH AFRICAN MA,309,CENTRAL AVE,12206,5000,309 CENTRAL AVE
712554,Store,A,FLAGLER BRENT,BRENTS EXPRESS STOP @ T,,NYS CAPITOL WASHINGTON AVE,12223,800,
712560,Store,JAC,BREW LLC,BREW,209,LARK ST,12210,800,209 LARK ST
715088,Store,A,ALI NOMAN,BROTHERS GROCERY,323,CENTRAL AVE,12206,1200,323 CENTRAL AVE
10359,Store,A,HW ROBERTS&SONS INC,BUSHS TRUE VALUE,159,MAIN ST,12143,5000,159 MAIN ST
10778,Store,JAC,RADIA CORP,CAMPUS CONVENIENT,143,WESTERN AVE,12203,1200,143 WESTERN AVE
10308,Store,JAC,WESTERN AVENUE BBE INC,CAMPUS MOBIL,1181,WESTERN AVE,12203,600,1181 WESTERN AVE
15413,Store,JAC,CANDY KRAFT CANDIES INC,CANDY KRAFT,2575,WESTERN AVE,12009,2000,2575 WESTERN AVE
723444,Store,JAC,CAPITAL CITY DELI & GROCERY INC,CAPITAL CITY DELI & GRO,26-30,N 3RD ST,12204,3000,26 30 N 3RD ST
15661,Store,JABC,CARDONAS MARKETS INC,CARDONAS MARKETS,340,DELAWARE AVE,12209,4500,340 DELAWARE AVE
10783,Store,JACDK,CARIOTO PRODUCE INC,CARIOTO PRODUCE,80,COHOES AVE,12183,17000,80 COHOES AVE
728146,Store,JAC,CARROLL MATTHEW,CARROLL ENTERPRISES SIL,5868,STATE ROUTE 32,12193,2000,5868 STATE ROUTE
10750,Store,JAC,CENTRAL AVENUE ENERGY INC,CENTRAL AVENUE ENERGY,1351,CENTRAL AVE,12205,1500,1351 CENTRAL AVE
722024,Store,A,FORTEEN STAR ENTERPRISES INC,CENTRAL AVE PHARMACY,346,CENTRAL AVENUE,12206,2000,346 CENTRAL AVENUE
10795,Store,A,CENTRAL STORE LLC,CENTRAL DISCOUNT,16,CENTRAL AVE,12210,3400,16 CENTRAL AVE
723531,Store,JAC,CENTRAL FOOD MART INC,CENTRAL FOOD MART,20,CENTRAL AVE,12210,0,20 CENTRAL AVE
729295,Store,JAC,CENTRAL MUNCHIES LLC,CENTRAL MUNCHIES,199,CENTRAL MUNCHIES LLC,12206,1700,199 CENTRAL
715512,Store,JAC,BASRA INC,CENTRAL SERVICE,1113,CENTRAL AVE,12205,1500,1113 CENTRAL AVE
720926,Store,JAC,CENTRAL TOWER GROCERY INC,CENTRAL TOWER GROCERY,438,CENTRAL AVENUE,12206,0,438 CENTRAL AVENUE
10656,Store,JAB,BEAUMONT LYNN & LYNCH BRENDAN,CHEESECAKE MACHISMO,293,HAMILTON ST,12210,1200,293 HAMILTON ST
716528,Store,JAC,CHESTERS SMOKEHOUSE LLC,CHESTERS SMOKEHOUSE,15,WATERVLIET AVE,12206,3000,15 WATERVLIET AVE
722820,Store,JAC,FELIPITO MERCEDES,CHICO CHICKEN DELI & GR,333,SOUTH PEARL ST,12202,1500,333 SOUTH PEARL ST
722581,Store,JAC,D & L DREAMS,CHOPS & HOPS,1214,TROY SCHENECTADY ROAD,12110,240,1214 TROY SCHENECTADY ROAD
707319,Store,A,LEININGER CHRISTOPHER S,CHRIS' EXPRESS STOP,44,HOLLAND AVE,12229,800,44 HOLLAND AVE
10451,Store,A,CHRISTMAS TREE SHOPS INC,CHRISTMAS TREE SHOPS 19,1425,CENTRAL AVE,12205,52000,1425 CENTRAL AVE
10569,Store,JAC,SALEH AMIN H,CLINTON DELI&GROCERY,413,CLINTON AVE,12206,1400,413 CLINTON AVE
10703,Store,JAC,GRJH INC,COBBLE POND FARMS,200,MAIN ST,12009,1300,200 MAIN ST
10384,Store,JAC,DUNCO INC,COHOES A PLUS,245,ONTARIO ST,12047,2000,245 ONTARIO ST
10505,Store,A,COHOES FASHION OF CROSSGATE INC,COHOES FASHION GRMT SHP,1,CROSSGATES MALL RD #108,12203,150,1 CROSSGATES MALL RD
15684,Store,JAC,AMCOR BEVERAGE INC,COLONIE STAR BEVERAGE,1823,CENTRAL AVE,12205,4800,1823 CENTRAL AVE
721942,Store,JAC,D.B. CORNER MART LLC,CORNER MART,91,SOUTHERN BLVD,12209,1200,91 SOUTHERN BLVD
10385,Store,A,HUSHMENDY FERSHID&DILNAVAZ,COULSONS NEWS CENTER,594,LOUDON RD,12110,2000,594 LOUDON RD
732883,Store,JAC,DEEDEES NEWS & DELI LLC,COULSON'S NEWS & DELI,420,BROADWAY,12207,2200,420 BROADWAY
10335,Store,JAC,COUNTRYSIDE MARTS INC,COUNTRYSIDE FOOD MART 6,788,HELDERBERG TRL RT 443,12059,2500,788 HELDERBERG TRL
10650,Store,A,CRESTWOOD HEALTH INC,CRESTWOOD PHARMACY,26,PICOTTE DR,12208,1200,26 PICOTTE DR
15180,Store,JAC,CUMBERLAND FARMS INC,CUMBERLAND FARMS 1520,1093,RT 9,12047,1800,1093 RT
15520,Store,JAC,CUMBERLAND FARMS INC,CUMBERLAND FARMS 1615,1196,CENTRAL AVE,12205,1600,1196 CENTRAL AVE
15519,Store,JAC,CUMBERLAND FARMS INC,CUMBERLAND FARMS 1618,1870,WESTERN AVE,12203,1200,1870 WESTERN AVE
15626,Store,JAC,CUMBERLAND FARMS INC,CUMBERLAND FARMS 1626,430,RT 9W PO BOX 337,12077,5200,430 RT 9 W
10773,Store,JAC,CUMBERLAND FARMS INC,CUMBERLAND FARMS #1662,68,RT 9W,12077,0,68 RT 9 W
15736,Store,JAC,CUMBERLAND FARMS INC,CUMBERLAND FARMS 1676,,PO BOX 303 RT 9W&143,12143,1200,
717989,Store,JAC,CUMBERLAND FARMS INC,CUMBERLAND FARMS #1691,211,TROY SCHENECTADY RD,12110,4500,211 TROY SCHENECTADY RD
720252,Store,JAC,CUMBERLAND FARMS INC,CUMBERLAND FARMS #1694,30-40,ONTARIO ST,12047,4800,30 40 ONTARIO ST
723751,Store,JAC,CUMBERLAND FARMS INC,CUMBERLAND FARMS #1697,1632A,CENTRAL AVE,12205,0,1632A CENTRAL AVE
729481,Store,JAC,CUMBERLAND FARMS INC,CUMBERLAND FARMS #1700,1159,TROY SCHENECTADY RD,12110,0,1159 TROY SCHENECTADY RD
715609,Store,A,CVS ALBANY LLC,CVS 1090,416,ROUTE 9W,12077,13225,416 ROUTE 9 W
10719,Store,A,CVS ALBANY LLC,CVS PHARMACY #00375,260,DELAWARE AVE,12054,15000,260 DELAWARE AVE
10420,Store,A,CVS ALBANY LLC,CVS PHARMACY 00600,415-419,DELAWARE AVE,12209,5000,415 419 DELAWARE AVE
10459,Store,A,CVS ALBANY LLC,CVS PHARMACY 00680,153,CENTRAL AVE,12206,5000,153 CENTRAL AVE
10428,Store,A,CVS ALBANY LLC,CVS PHARMACY 00778,1170,WESTERN AVE,12203,6000,1170 WESTERN AVE
10550,Store,A,CVS ALBANY LLC,CVS PHARMACY 01895,2040,WESTERN AVE,12203,5000,2040 WESTERN AVE
10548,Store,A,CVS ALBANY LLC,CVS PHARMACY 02702,465,SAND CREEK RD,12205,1000,465 SAND CREEK RD
10450,Store,A,CVS ALBANY LLC,CVS PHARMACY 02743,485,COLUMBIA ST,12047,7000,485 COLUMBIA ST
10696,Store,A,CVS ALBANY LLC,CVS PHARMACY #0415,750,NEWLOUDON RD,12110,12000,750 NEWLOUDON RD
10814,Store,A,CVS ALBANY LLC,CVS PHARMACY #0417,885,CENTRAL AVE,12206,13462,885 CENTRAL AVE
10278,Store,A,CVS ALBANY LLC,CVS PHARMACY 05030,1475,WESTERN AVE,12203,4000,1475 WESTERN AVE
10448,Store,A,CVS ALBANY LLC,CVS PHARMACY 05037,,RT 9W FAITH PLAZA,12143,4500,
10418,Store,A,CVS ALBANY LLC,CVS PHARMACY 05047,584,LOUDON RD,12110,7500,584 LOUDON RD
420256,Store,A,CVS ALBANY LLC,CVS PHARMACY 05358,3916,CARMAN RD,12303,2000,3916 CARMAN RD
10932,Store,A,CVS ALBANY LLC,CVS PHARMACY #134,16,NEW SCOTLAND AVE,12208,10000,16 NEW SCOTLAND AVE
10554,Store,A,CVS ALBANY LLC,CVS PHARMACY 413,1026,MADISON AVE,12208,2000,1026 MADISON AVE
10551,Store,A,CVS ALBANY LLC,CVS PHARMACY 744,613,NEW SCOTLAND AVE,12208,3500,613 NEW SCOTLAND AVE
734516,Store,JAC,DAILY STOP MARKET INC,DAILY STOP MARKET,131,CENTRAL AVE,12206,1800,131 CENTRAL AVE
731247,Store,JAC,MOHAMED-ALI ANWAR,DANNA MARKET,112,QUAIL STREET,12206,2000,112 QUAIL STREET
11014,Store,A,SAPIO DAVID J,D & D NEWS,,W A HARRIMAN CAMPUS BLDG 8,12227,600,
725598,Store,JAC,QUAIL STREET MARKET CORP,DEB'S MRKT & BEAUTY SUP,22,QUAIL ST,12206,7000,22 QUAIL ST
10115,Store,JAC,NAGI ABDO M,DELAWARE GROCERY STORE,36,JUDSON ST,12206,1500,36 JUDSON ST
720089,Store,JAC,DELI QUEEN & GROCERY INC,DELI QUEEN & GROCERY,484,CLINTON AVE,12206,1000,484 CLINTON AVE
10566,Store,JAE,DELMAR BEVERAGE INC,DELMAR BEVERAGE,242,DELAWARE AVE,12054,7500,242 DELAWARE AVE
714790,Store,JAC,DELMAR HEALTH HUT INC,DELMAR HEALTH HUT,278,DELAWARE AVE,12054,900,278 DELAWARE AVE
10985,Store,JAC,JOHN AND MARYS GROCERY LLC,DELMAR MARKETPLACE,406,KENWOOD AVE,12054,0,406 KENWOOD AVE
10917,Store,JAC,PRESTIGE PETROLEUM CORP,DELMAR VALERO,594,DELAWARE AVE,12054,1500,594 DELAWARE AVE
725949,Store,JAC,NOHA MARKET LLC,DE LOS SANTOS MARKET,53,NORTH SWAN ST,12210,1600,53 NORTH SWAN ST
712811,Store,JAC,NAGI MASTAFA,DEUCE DELI & GROCERY,329,2ND AVE,12209,860,329 2ND AVE
10575,Store,A,DIFFERENT DRUMMER KITCHEN INC,DIFFERENT DRUMMER,1475,WESTERN AVE,12203,3500,1475 WESTERN AVE
727648,Store,A,DONIE TERESA,DMV NEWS,,NYS DMV CORE 3 SOUTH SWAN STREET#,12223,300,
706878,Store,JAC,KOROSTIL IGOR,DNIPRO EURO FOODS,898,NEW LOUDON RD,12110,2200,898 NEW LOUDON RD
725467,Store,A,DOLGENCORP OF NEW YORK INC,DOLLAR GENERAL 16872,1939,CENTRAL AVE,12205,5500,1939 CENTRAL AVE
10440,Store,A,DOLGENCORP OF NEW YORK INC,DOLLAR GENERAL 8650,638,COLUMBIA ST EXT,12110,3000,638 COLUMBIA ST EXT
725390,Store,A,ALBANY DOLLAR INC,DOLLAR N THINGS,1,CROSSGATES MALL RD,12203,3000,1 CROSSGATES MALL RD
726947,Store,A,DOLLAR TREE STORES INC,DOLLAR TREE #04874,1892,SUITE 10 CENTRAL AVE,12205,5000,1892 SUITE 10 CENTRAL AVE
719028,Store,A,DOLLAR TREE STORES INC,DOLLAR TREE #05680,1619,BROADWAY,12189,0,1619 BROADWAY
718552,Store,A,DOLLAR TREE STORE INC,DOLLAR TREE #06156,2080,WESTERN AVE,12084,10000,2080 WESTERN AVE
720955,Store,A,DOLLAR TREE STORES INC,DOLLAR TREE #06253,484,ALBANY SHAKER RD,12211,10265,484 ALBANY SHAKER RD
725597,Store,A,DOLLAR TREE STORES INC,DOLLAR TREE #1017,180,DELAWARE AVE DELAWARE PLAZA,12054,3000,180 DELAWARE AVE
10483,Store,A,DOLLAR TREE STORES INC,DOLLAR TREE 1414,911,CENTRAL AVE,12206,8000,911 CENTRAL AVE
705277,Store,A,DOLLAR TREE STORES INC,DOLLAR TREE #4168,388,FEURA BUSH RD #100,12077,10000,388 FEURA BUSH RD
11026,Store,JAC,COUGHTRY TIMOTHY E,DUCK POND FARMS,4448,WESTERN TPKE,12009,1300,4448 WESTERN TPKE
11028,Store,JAC,BROTHER AND BROTHER INC,DUNIYA SUPERMARKET,688,NEW LOUDON RD SUITE D,12110,6900,688 NEW LOUDON RD
10597,Store,JAC,EASHA INC,EASHA MART,206,QUAIL ST,12203,900,206 QUAIL ST
723024,Store,JAC,E & D AFRICAN MARKET LLC,E & D AFRICAN MARKET,617,CENTRAL AVE,12206,2000,617 CENTRAL AVE
10813,Store,JAC,CHAUDHRYS NY LLC,EDIBLE ARRANGEMENTS,155,WOLF RD SUITE 5,12205,1500,155 WOLF RD
10944,Store,A,NEW HEALTH VENTURES LLC,ELITE NUTRITION,1770,CENTRAL AVE,12205,2000,1770 CENTRAL AVE
724461,Store,JAC,EL PILON MARKET INC,EL PILON MARKET,179,S PEARL STREET,12202,1500,179 S PEARL STREET
10386,Store,A,DEVEN CORP THE,EMPIRE NEWS OF ALBANY,10,DELAWARE AVE,12210,600,10 DELAWARE AVE
10957,Store,JAC,EURO DELI AND MARKET CORP,EURO DELI AND MARKET,231,WADE ROAD EXT,12110,2100,231 WADE ROAD EXT
726991,Store,A,EXPRESS SAVING DISCOUNT STORE INC,EXPRESS SAVING DISCOUNT,255,NEW SCOTLAND AVE,12208,1200,255 NEW SCOTLAND AVE
10620,Store,A,SHERMAN MARK W,EXPRESS STOP NEWS,50,WOLF RD DOT,12233,600,50 WOLF RD
15878,Store,JAC,ROBILOTTO JOSEPH L,FALVOS MEAT CO,386,MAPLE RD (RT 85A),12159,2000,386 MAPLE RD
730464,Store,JAC,FAMILY DELI AND GROCERY OF ALBANY,FAMILY DELI AND GROCERY,37,CENTRAL AVE,12210,1200,37 CENTRAL AVE
10508,Store,A,FAMILY DOLLAR STORES OF NY INC,FAMILY DOLLAR 1871,2611,2ND AVE,12189,8000,2611 2ND AVE
10759,Store,A,FAMILY DOLLAR STORES OF NY INC,FAMILY DOLLAR #1973,2381,HWY 9W,12143,4000,2381 HWY 9 W
10496,Store,A,FAMILY DOLLAR STORES OF NY INC,FAMILY DOLLAR 2048,484,CENTRAL AVE,12206,3000,484 CENTRAL AVE
10586,Store,A,FAMILY DOLLAR STORES OF NY INC,FAMILY DOLLAR #2164,103,SARATOGA ST,12047,3500,103 SARATOGA ST
721225,Store,A,FAMILY DOLLAR STORES OF NY INC,FAMILY DOLLAR #31571,418,SOUTH PEARL STREET,12202,4800,418 SOUTH PEARL STREET
10562,Store,A,FAMILY DOLLAR STORES OF NY INC,FAMILY DOLLAR 5656,201,HENRY JOHNSON BLVD,12210,7000,201 HENRY JOHNSON BLVD
11002,Store,A,FAMILY DOLLAR STORES,FAMILY DOLLAR #8141,485,DELAWARE AVE,12209,7708,485 DELAWARE AVE
721147,Store,A,FAMILY DOLLAR OF NY INC,FAMILY DOLLAR STORE #23,28,BROADWAY,12204,5000,28 BROADWAY
704995,Store,JAC,ALBANY PRIDE SEAFOOD LLC,FINYOUR FISHMONGER,2050,WESTERN AVE,12084,2100,2050 WESTERN AVE
10640,Store,JAC,HOLMES JENNIFER M,FIORELLO DELI,1180-A,WESTERN AVE,12203,800,1180-A WESTERN AVE
16010,Store,JAC,DENITTO MARIA,FIORELLO IMP LUIGIS DEL,1182,WESTERN AVE,12203,1300,1182 WESTERN AVE
729571,Store,JAC,FLY BY FOOD MART INC,FLY BY FOOD MART,354,S PEARL ST,12202,0,354 S PEARL ST
721326,Store,JAC,NAPREDAK LLC,FOX CREEK MARKET,1634,HELDERBERG TRAIL,12023,0,1634 HELDERBERG TRAIL
730304,Store,JAC,FREEMAN DOUGLAS,FREEMAN FISH MARKET,381,SARATOGA ST,12047,1500,381 SARATOGA ST
10915,Store,JAC,FRESH MARKET INC THE,FRESH MARKET OF NY THE,664,NEW LOUDON RD,12110,23000,664 NEW LOUDON RD
735164,Store,JAC,FRESH NEIGHBORHOOD MARKET LLC,FRESH NEIGHBORHOOD MARK,16,JUDSON ST,12206,0,16 JUDSON ST
733349,Store,JAC,FUJISAN FRANCHISING CORP,FUJISAN (INSIDE SAMS CL,579,TROY-SCHENECTADY RD STE 236,12110,800,579 TROY-SCHENECTADY RD
728848,Store,JAC,RECORD TOWN INC,FYE #1677,120,WASHINGTON AVE EX C109,12203,4425,120 WASHINGTON AVE
10946,Store,JAC,GADE FARM THE LLC,GADE FARM THE,2479,WESTERN AVE,12009,4000,2479 WESTERN AVE
10969,Store,A,GALDAMEZ DOLORES O,GALDAMEZ STORE,1222,CENTRAL AVE,12205,200,1222 CENTRAL AVE
721638,Store,A,HARI & AADI CO,GARY COUNTRY FARM,821,NEW SCOTLAND AVE,12208,2000,821 NEW SCOTLAND AVE
11013,Store,A,HARI&AADI CORP,GARY COUNTRY FARM,821,NEW SCOTLAND AVE,12208,1500,821 NEW SCOTLAND AVE
716903,Store,JAC,G C PETROLEUM LLC,GC PETROLEUM,351,SOUTHERN BLVD,12209,1800,351 SOUTHERN BLVD
15410,Store,A,GENERAL NUTRITION CORP,GENERAL NUTRITION 1309,,COLONIE CENTER #322,12205,1600,
15426,Store,A,GENERAL NUTRITION CORP,GENERAL NUTRITION 3209,1,CROSSGATES MALL RD,12203,2110,1 CROSSGATES MALL RD
732488,Store,JAC,42BC FOODS LLC,GENOA IMPORTING,435,LOUDON RD,12211,1600,435 LOUDON RD
727149,Store,JAC,GEORGES MARKET & NURSERY LLC,GEORGES MARKET & NURSER,957,WATERVLIET-SHAKER RD,12205,3000,957 WATERVLIET-SHAKER RD
10937,Store,JAC,GEORGES MARKET&NURSERY LLC,GEORGES MARKET&NURSERY,240,WADE RD EXT,12110,2500,240 WADE RD EXT
734730,Store,A,BROOKS ANGELA,GEORGIAS SUGAR SHACK,50,WOLF ROAD,12223,0,50 WOLF ROAD
10810,Store,A,GENERAL NUTRITION CORP,GNC 9854,579,TROY-SCHENECTADY RD,12110,1600,579 TROY-SCHENECTADY RD
728526,Store,JAC,MUNEER ABDO HAMOOD NAJI,GOLD STAR DELI & GROCER,437,S PEARL STREET,12202,900,437 S PEARL STREET
15493,Store,JAC,HUCHRO GERALD,GRAND ST IMPORTS&GROCER,77,GRAND ST,12202,875,77 GRAND ST
732841,Store,JAC,GREEN ACRES OF NEW YORK LLC,GREEN ACRES OF NEW YORK,288,STATE ROUTE 143,12193,1500,288 STATE ROUTE
734310,Store,A,GREEN ISLAND MART INC,GREEN ISLAND MART,165,PAINE STREET,12183,1800,165 PAINE STREET
726475,Store,JAC,YEMLIHA KAYA,GULKAYA,4449,WESTERN TPKE,12009,800,4449 WESTERN TPKE
10724,Store,JAC,HAYAT 7 CORP,HALAL MARKET,264,CENTRAL AVE,12206,1200,264 CENTRAL AVE
10753,Store,JAC,NEW SPICY INC,HALAL SUPER MARKET,700,NEW LOUDON RD #3,12110,2500,700 NEW LOUDON RD
733119,Store,A,HALAL SUPERMARKETS INC,HALAL SUPERMARKET,296-298,CENTRAL AVE,12206,0,296 298 CENTRAL AVE
10801,Store,JAC,MARTINS FOODS OF S BURLINGTON LLC,HANNAFORD #8233,5,MAPLE RD,12186,27000,5 MAPLE RD
10365,Store,JABC,MARTINS FOODS OF S BURLINGTON LLC,HANNAFORD 8339,180,DELAWARE AVE,12054,43000,180 DELAWARE AVE
15785,Store,JABC,MARTINS FOODS OF S BURLINGTON LLC,HANNAFORD 8362,96,WOLF RD,12205,70000,96 WOLF RD
15697,Store,JABC,MARTINS FOODS OF S BURLINGTON LLC,HANNAFORD 8367,900,CENTRAL AVE,12206,100000,900 CENTRAL AVE
16065,Store,JABC,MARTINS FOODS OF S BURLINGTON LLC,HANNAFORD 8386,579,TROY SCHENECTADY RD,12110,64000,579 TROY SCHENECTADY RD
10221,Store,JABC,MARTINS FOODS OF S BURLINGTON LLC,HANNAFORD 8393,5239,WESTERN TPKE,12009,46000,5239 WESTERN TPKE
726918,Store,JAC,HEALING MEALS LLC,HEALING MEALS,113,EVERETT RD,12205,900,113 EVERETT RD
722740,Store,JAC,HELDERBERG MOUNTAIN BREWING COMPA,HELDERBERG MOUNTAIN BRE,141,WARNERS LAKE RD SUITE 1,12059,800,141 WARNERS LAKE RD
10855,Store,A,HICKORY FARMS INC,HICKORY FARMS 11302,120,WASHINGTON AVE CROSSGATES MAL,12203,1000,120 WASHINGTON AVE CROSSGATES MAL
10573,Store,A,HICKORY FARMS INC,HICKORY FARMS #11311,131,COLONIE CENTER,12205,1000,131 COLONIE CENTER
723925,Store,JAC,LWIN FAMILY CO,HISSHO SUSHI@ST PETERS,11949,MANNING BLVD,12208,400,11949 MANNING BLVD
