zip_Code,County,City,State
35541,Winston,Arley,Alabama
35542,Fayette,Bankston,Alabama
35543,Marion,Bear Creek,Alabama
35544,Lamar,Beaverton,Alabama
35545,Fayette,Belk,Alabama
35546,Fayette,Berry,Alabama
35548,Marion,Brilliant,Alabama
35549,Walker,Carbon Hill,Alabama
35550,Walker,Cordova,Alabama
35552,Lamar,Detroit,Alabama
35553,Winston,Double Springs,Alabama
35554,Marion,Eldridge,Alabama
35555,Fayette,Fayette,Alabama
35559,Fayette,Glen Allen,Alabama
35563,Marion,Guin,Alabama
35564,Marion,Hackleburg,Alabama
35565,Winston,Haleyville,Alabama
35570,Marion,Hamilton,Alabama
35571,Franklin,Hodges,Alabama
35572,Winston,Houston,Alabama
35574,Fayette,Kennedy,Alabama
35575,Winston,Lynn,Alabama
35576,Lamar,Millport,Alabama
35577,Winston,Natural Bridge,Alabama
35578,Walker,Nauvoo,Alabama
35579,Walker,Oakman,Alabama
35580,Walker,Parrish,Alabama
35581,Franklin,Phil Campbell,Alabama
35582,Franklin,Red Bay,Alabama
35584,Walker,Sipsey,Alabama
35585,Franklin,Spruce Pine,Alabama
35586,Lamar,Sulligent,Alabama
35587,Walker,Townley,Alabama
35592,Lamar,Vernon,Alabama
35593,Franklin,Vina,Alabama
35594,Marion,Winfield,Alabama
35601,Morgan,Decatur,Alabama
35603,Morgan,Decatur,Alabama
35610,Lauderdale,Anderson,Alabama
35611,Limestone,Athens,Alabama
35613,Limestone,Athens,Alabama
35614,Limestone,Athens,Alabama
35615,Limestone,Belle Mina,Alabama
35616,Colbert,Cherokee,Alabama
35618,Lawrence,Courtland,Alabama
35619,Morgan,Danville,Alabama
35620,Limestone,Elkmont,Alabama
35621,Morgan,Eva,Alabama
35622,Morgan,Falkville,Alabama
35630,Lauderdale,Florence,Alabama
35633,Lauderdale,Florence,Alabama
35634,Lauderdale,Florence,Alabama
35640,Morgan,Hartselle,Alabama
35643,Lawrence,Hillsboro,Alabama
35645,Lauderdale,Killen,Alabama
35646,Colbert,Leighton,Alabama
35647,Limestone,Lester,Alabama
35648,Lauderdale,Lexington,Alabama
35649,Limestone,Mooresville,Alabama
35650,Lawrence,Moulton,Alabama
35651,Lawrence,Mount Hope,Alabama
35652,Lauderdale,Rogersville,Alabama
35653,Franklin,Russellville,Alabama
35654,Franklin,Russellville,Alabama
35660,Colbert,Sheffield,Alabama
35661,Colbert,Muscle Shoals,Alabama
35670,Morgan,Somerville,Alabama
35671,Limestone,Tanner,Alabama
35672,Lawrence,Town Creek,Alabama
35673,Lawrence,Trinity,Alabama
35674,Colbert,Tuscumbia,Alabama
35677,Lauderdale,Waterloo,Alabama
35739,Limestone,Ardmore,Alabama
35740,Jackson,Bridgeport,Alabama
35741,Madison,Brownsboro,Alabama
35744,Jackson,Dutton,Alabama
35745,Jackson,Estillfork,Alabama
35746,Jackson,Fackler,Alabama
35747,Marshall,Grant,Alabama
35748,Madison,Gurley,Alabama
35749,Madison,Harvest,Alabama
35750,Madison,Hazel Green,Alabama
35751,Jackson,Hollytree,Alabama
35752,Jackson,Hollywood,Alabama
35754,Morgan,Laceys Spring,Alabama
35755,Marshall,Langston,Alabama
35756,Limestone,Madison,Alabama
35757,Madison,Madison,Alabama
35758,Madison,Madison,Alabama
35759,Madison,Meridianville,Alabama
35760,Madison,New Hope,Alabama
35761,Madison,New Market,Alabama
35763,Madison,Owens Cross Roads,Alabama
35764,Jackson,Paint Rock,Alabama
35765,Jackson,Pisgah,Alabama
35766,Jackson,Princeton,Alabama
35768,Jackson,Scottsboro,Alabama
35769,Jackson,Scottsboro,Alabama
35771,Jackson,Section,Alabama
35772,Jackson,Stevenson,Alabama
35773,Madison,Toney,Alabama
35774,Jackson,Trenton,Alabama
35775,Morgan,Valhermoso Springs,Alabama
35776,Jackson,Woodville,Alabama
35801,Madison,Huntsville,Alabama
35802,Madison,Huntsville,Alabama
35803,Madison,Huntsville,Alabama
35805,Madison,Huntsville,Alabama
35806,Madison,Huntsville,Alabama
35808,Madison,Huntsville,Alabama
35810,Madison,Huntsville,Alabama
35811,Madison,Huntsville,Alabama
35816,Madison,Huntsville,Alabama
35824,Madison,Huntsville,Alabama
35896,Madison,Huntsville,Alabama
35901,Etowah,Gadsden,Alabama
35903,Etowah,Gadsden,Alabama
35904,Etowah,Gadsden,Alabama
35905,Etowah,Gadsden,Alabama
35906,Etowah,Rainbow City,Alabama
35907,Etowah,Gadsden,Alabama
35950,Marshall,Albertville,Alabama
35951,Marshall,Albertville,Alabama
35952,Etowah,Altoona,Alabama
35953,St. Clair,Ashville,Alabama
35954,Etowah,Attalla,Alabama
35956,Etowah,Boaz,Alabama
35957,Marshall,Boaz,Alabama
35958,Jackson,Bryant,Alabama
35959,Cherokee,Cedar Bluff,Alabama
35960,Cherokee,Centre,Alabama
35961,Cherokee,Collinsville,Alabama
35962,DeKalb,Crossville,Alabama
35963,DeKalb,Dawson,Alabama
35966,Jackson,Flat Rock,Alabama
35967,DeKalb,Fort Payne,Alabama
35968,DeKalb,Fort Payne,Alabama
35971,DeKalb,Fyffe,Alabama
35972,Etowah,Gallant,Alabama
35973,Cherokee,Gaylesville,Alabama
35974,DeKalb,Geraldine,Alabama
35975,DeKalb,Groveoak,Alabama
35976,Marshall,Guntersville,Alabama
35978,DeKalb,Henagar,Alabama
35979,DeKalb,Higdon,Alabama
35980,Marshall,Horton,Alabama
35981,DeKalb,Ider,Alabama
35983,Cherokee,Leesburg,Alabama
35984,DeKalb,Mentone,Alabama
35986,DeKalb,Rainsville,Alabama
35987,St. Clair,Steele,Alabama
35988,DeKalb,Sylvania,Alabama
35989,DeKalb,Valley Head,Alabama
35990,Etowah,Walnut Grove,Alabama
36003,Autauga,Autaugaville,Alabama
36005,Pike,Banks,Alabama
36006,Autauga,Billingsley,Alabama
36009,Crenshaw,Brantley,Alabama
36010,Pike,Brundidge,Alabama
36013,Montgomery,Cecil,Alabama
36016,Barbour,Clayton,Alabama
36017,Barbour,Clio,Alabama
36020,Elmore,Coosada,Alabama
36022,Elmore,Deatsville,Alabama
36024,Elmore,Eclectic,Alabama
36025,Elmore,Elmore,Alabama
36026,Coosa,Equality,Alabama
36027,Barbour,Eufaula,Alabama
36028,Covington,Dozier,Alabama
36029,Bullock,Fitzpatrick,Alabama
36030,Butler,Forest Home,Alabama
36031,Macon,Fort Davis,Alabama
36032,Lowndes,Fort Deposit,Alabama
36033,Butler,Georgiana,Alabama
36034,Pike,Glenwood,Alabama
36035,Pike,Goshen,Alabama
36036,Montgomery,Grady,Alabama
36037,Butler,Greenville,Alabama
36038,Covington,Gantt,Alabama
36039,Macon,Hardaway,Alabama
36040,Lowndes,Hayneville,Alabama
36041,Crenshaw,Highland Home,Alabama
36042,Crenshaw,Honoraville,Alabama
36043,Montgomery,Hope Hull,Alabama
36046,Crenshaw,Lapine,Alabama
36047,Lowndes,Letohatchee,Alabama
36048,Barbour,Louisville,Alabama
36049,Crenshaw,Luverne,Alabama
36051,Autauga,Marbury,Alabama
36052,Montgomery,Mathews,Alabama
36053,Bullock,Midway,Alabama
36054,Elmore,Millbrook,Alabama
36064,Montgomery,Pike Road,Alabama
36066,Autauga,Prattville,Alabama
36067,Autauga,Prattville,Alabama
36069,Montgomery,Ramer,Alabama
36071,Crenshaw,Rutledge,Alabama
36075,Macon,Shorter,Alabama
36078,Elmore,Tallassee,Alabama
36079,Pike,Troy,Alabama
36080,Elmore,Titus,Alabama
36081,Pike,Troy,Alabama
36082,Pike,Troy,Alabama
36083,Macon,Tuskegee,Alabama
36088,Macon,Tuskegee Institute,Alabama
36089,Bullock,Union Springs,Alabama
36091,Autauga,Verbena,Alabama
36092,Elmore,Wetumpka,Alabama
36093,Elmore,Wetumpka,Alabama
36104,Montgomery,Montgomery,Alabama
36105,Montgomery,Montgomery,Alabama
36106,Montgomery,Montgomery,Alabama
36107,Montgomery,Montgomery,Alabama
36108,Montgomery,Montgomery,Alabama
36109,Montgomery,Montgomery,Alabama
36110,Montgomery,Montgomery,Alabama
36111,Montgomery,Montgomery,Alabama
36112,Montgomery,Montgomery,Alabama
36113,Montgomery,Montgomery,Alabama
36115,Montgomery,Montgomery,Alabama
36116,Montgomery,Montgomery,Alabama
36117,Montgomery,Montgomery,Alabama
36201,Calhoun,Anniston,Alabama
36203,Calhoun,Oxford,Alabama
36205,Calhoun,Anniston,Alabama
36206,Calhoun,Anniston,Alabama
36207,Calhoun,Anniston,Alabama
36250,Calhoun,Alexandria,Alabama
36251,Clay,Ashland,Alabama
36255,Clay,Cragford,Alabama
36256,Tallapoosa,Daviston,Alabama
36258,Clay,Delta,Alabama
36260,Calhoun,Eastaboga,Alabama
36262,Cleburne,Fruithurst,Alabama
36263,Randolph,Graham,Alabama
36264,Cleburne,Heflin,Alabama
36265,Calhoun,Jacksonville,Alabama
36266,Clay,Lineville,Alabama
36267,Clay,Millerville,Alabama
36268,Talladega,Munford,Alabama
36269,Cleburne,Muscadine,Alabama
36271,Calhoun,Ohatchee,Alabama
36272,Etowah,Piedmont,Alabama
36273,Cleburne,Ranburne,Alabama
36274,Randolph,Roanoke,Alabama
36276,Randolph,Wadley,Alabama
36277,Calhoun,Weaver,Alabama
36278,Randolph,Wedowee,Alabama
36279,Calhoun,Wellington,Alabama
36280,Randolph,Woodland,Alabama
36301,Houston,Dothan,Alabama
36303,Houston,Dothan,Alabama
36305,Houston,Dothan,Alabama
36310,Henry,Abbeville,Alabama
36311,Coffee,Ariton,Alabama
36312,Houston,Ashford,Alabama
36313,Geneva,Bellwood,Alabama
36314,Geneva,Black,Alabama
36316,Geneva,Chancellor,Alabama
36317,Barbour,Clopton,Alabama
36318,Geneva,Coffee Springs,Alabama
36319,Houston,Columbia,Alabama
36320,Houston,Cottonwood,Alabama
36321,Houston,Cowarts,Alabama
36322,Dale,Daleville,Alabama
36323,Coffee,Elba,Alabama
36330,Coffee,Enterprise,Alabama
36340,Geneva,Geneva,Alabama
36343,Houston,Gordon,Alabama
36344,Geneva,Hartford,Alabama
36345,Henry,Headland,Alabama
36346,Coffee,Jack,Alabama
36350,Dale,Midland City,Alabama
36351,Coffee,New Brockton,Alabama
36352,Houston,Newton,Alabama
36353,Henry,Newville,Alabama
36360,Dale,Ozark,Alabama
36362,Dale,Fort Rucker,Alabama
36370,Houston,Pansey,Alabama
36371,Dale,Pinckard,Alabama
36373,Henry,Shorterville,Alabama
36374,Dale,Skipperville,Alabama
36375,Geneva,Slocomb,Alabama
36376,Houston,Webb,Alabama
36401,Conecuh,Evergreen,Alabama
36420,Covington,Andalusia,Alabama
36421,Covington,Andalusia,Alabama
36425,Monroe,Beatrice,Alabama
36426,Escambia,Brewton,Alabama
36432,Conecuh,Castleberry,Alabama
36435,Wilcox,Coy,Alabama
36436,Clarke,Dickinson,Alabama
36439,Monroe,Excel,Alabama
36441,Escambia,Flomaton,Alabama
36442,Covington,Florala,Alabama
36444,Monroe,Franklin,Alabama
36445,Monroe,Frisco City,Alabama
36446,Clarke,Fulton,Alabama
36451,Clarke,Grove Hill,Alabama
36453,Coffee,Kinston,Alabama
36454,Conecuh,Lenox,Alabama
36455,Covington,Lockhart,Alabama
36456,Butler,Mc Kenzie,Alabama
36460,Monroe,Monroeville,Alabama
36467,Covington,Opp,Alabama
36470,Monroe,Perdue Hill,Alabama
36471,Monroe,Peterman,Alabama
36473,Conecuh,Range,Alabama
36474,Covington,Red Level,Alabama
36475,Conecuh,Repton,Alabama
36476,Covington,River Falls,Alabama
36477,Geneva,Samson,Alabama
36480,Monroe,Uriah,Alabama
36481,Monroe,Vredenburgh,Alabama
36482,Clarke,Whatley,Alabama
36483,Covington,Wing,Alabama
36502,Escambia,Atmore,Alabama
36505,Mobile,Axis,Alabama
36507,Baldwin,Bay Minette,Alabama
36509,Mobile,Bayou La Batre,Alabama
36511,Baldwin,Bon Secour,Alabama
36512,Mobile,Bucks,Alabama
36513,Washington,Calvert,Alabama
36518,Washington,Chatom,Alabama
36521,Mobile,Chunchula,Alabama
36522,Mobile,Citronelle,Alabama
36523,Mobile,Coden,Alabama
36524,Clarke,Coffeeville,Alabama
36525,Mobile,Creola,Alabama
36526,Baldwin,Daphne,Alabama
36527,Baldwin,Daphne,Alabama
36528,Mobile,Dauphin Island,Alabama
36529,Washington,Deer Park,Alabama
36530,Baldwin,Elberta,Alabama
36532,Baldwin,Fairhope,Alabama
36535,Baldwin,Foley,Alabama
36538,Washington,Frankville,Alabama
36539,Washington,Fruitdale,Alabama
36540,Clarke,Gainestown,Alabama
36541,Mobile,Grand Bay,Alabama
36542,Baldwin,Gulf Shores,Alabama
36543,Escambia,Huxford,Alabama
36544,Mobile,Irvington,Alabama
36545,Clarke,Jackson,Alabama
36548,Washington,Leroy,Alabama
36549,Baldwin,Lillian,Alabama
36550,Baldwin,Little River,Alabama
36551,Baldwin,Loxley,Alabama
36553,Washington,Mc Intosh,Alabama
36555,Baldwin,Magnolia Springs,Alabama
36556,Washington,Malcolm,Alabama
36558,Washington,Millry,Alabama
36559,Baldwin,Montrose,Alabama
36560,Mobile,Mount Vernon,Alabama
36561,Baldwin,Orange Beach,Alabama
36562,Baldwin,Perdido,Alabama
36564,Baldwin,Point Clear,Alabama
36567,Baldwin,Robertsdale,Alabama
36568,Mobile,Saint Elmo,Alabama
36569,Washington,Saint Stephens,Alabama
36571,Mobile,Saraland,Alabama
36572,Mobile,Satsuma,Alabama
36574,Baldwin,Seminole,Alabama
36575,Mobile,Semmes,Alabama
36576,Baldwin,Silverhill,Alabama
36578,Baldwin,Stapleton,Alabama
36579,Baldwin,Stockton,Alabama
36580,Baldwin,Summerdale,Alabama
36581,Washington,Sunflower,Alabama
36582,Mobile,Theodore,Alabama
36583,Washington,Tibbie,Alabama
36584,Washington,Vinegar Bend,Alabama
36585,Washington,Wagarville,Alabama
36587,Mobile,Wilmer,Alabama
36590,Mobile,Theodore,Alabama
36602,Mobile,Mobile,Alabama
36603,Mobile,Mobile,Alabama
36604,Mobile,Mobile,Alabama
36605,Mobile,Mobile,Alabama
36606,Mobile,Mobile,Alabama
36607,Mobile,Mobile,Alabama
36608,Mobile,Mobile,Alabama
36609,Mobile,Mobile,Alabama
36610,Mobile,Mobile,Alabama
36611,Mobile,Mobile,Alabama
36612,Mobile,Mobile,Alabama
36613,Mobile,Eight Mile,Alabama
36615,Mobile,Mobile,Alabama
36616,Mobile,Mobile,Alabama
36617,Mobile,Mobile,Alabama
36618,Mobile,Mobile,Alabama
36619,Mobile,Mobile,Alabama
36688,Mobile,Mobile,Alabama
36693,Mobile,Mobile,Alabama
36695,Mobile,Mobile,Alabama
36701,Dallas,Selma,Alabama
36703,Dallas,Selma,Alabama
36720,Wilcox,Alberta,Alabama
36722,Wilcox,Arlington,Alabama
36723,Wilcox,Boykin,Alabama
36726,Wilcox,Camden,Alabama
36727,Clarke,Campbell,Alabama
36728,Wilcox,Catherine,Alabama
36732,Marengo,Demopolis,Alabama
36736,Marengo,Dixons Mills,Alabama
36738,Marengo,Faunsdale,Alabama
36740,Greene,Forkland,Alabama
36742,Marengo,Gallion,Alabama
36744,Hale,Greensboro,Alabama
36748,Marengo,Linden,Alabama
36749,Autauga,Jones,Alabama
36750,Chilton,Maplesville,Alabama
36751,Clarke,Lower Peach Tree,Alabama
36752,Lowndes,Lowndesboro,Alabama
36753,Monroe,Mc Williams,Alabama
36754,Marengo,Magnolia,Alabama
36756,Perry,Marion,Alabama
36758,Dallas,Plantersville,Alabama
36759,Dallas,Marion Junction,Alabama
36761,Dallas,Minter,Alabama
36763,Marengo,Myrtlewood,Alabama
36765,Hale,Newbern,Alabama
36766,Wilcox,Oak Hill,Alabama
36767,Dallas,Orrville,Alabama
36768,Wilcox,Pine Apple,Alabama
36769,Wilcox,Pine Hill,Alabama
36773,Dallas,Safford,Alabama
36775,Dallas,Sardis,Alabama
36776,Hale,Sawyerville,Alabama
36782,Marengo,Sweet Water,Alabama
36783,Marengo,Thomaston,Alabama
36784,Clarke,Thomasville,Alabama
36785,Lowndes,Tyler,Alabama
36786,Perry,Uniontown,Alabama
36790,Chilton,Stanton,Alabama
36792,Bibb,Randolph,Alabama
36793,Bibb,Lawley,Alabama
36801,Lee,Opelika,Alabama
36804,Lee,Opelika,Alabama
36830,Lee,Auburn,Alabama
36832,Lee,Auburn,Alabama
36849,Lee,Auburn University,Alabama
36850,Tallapoosa,Camp Hill,Alabama
36852,Lee,Cusseta,Alabama
36853,Tallapoosa,Dadeville,Alabama
36854,Chambers,Valley,Alabama
36855,Chambers,Five Points,Alabama
36856,Russell,Fort Mitchell,Alabama
36858,Russell,Hatchechubbee,Alabama
36859,Russell,Holy Trinity,Alabama
36860,Russell,Hurtsboro,Alabama
36861,Tallapoosa,Jacksons Gap,Alabama
36862,Chambers,Lafayette,Alabama
36863,Chambers,Lanett,Alabama
36865,Lee,Loachapoka,Alabama
36866,Macon,Notasulga,Alabama
36867,Russell,Phenix City,Alabama
36869,Russell,Phenix City,Alabama
36870,Lee,Phenix City,Alabama
36871,Russell,Pittsview,Alabama
36874,Lee,Salem,Alabama
36875,Russell,Seale,Alabama
36877,Lee,Smiths Station,Alabama
36879,Lee,Waverly,Alabama
36901,Sumter,Bellamy,Alabama
36904,Choctaw,Butler,Alabama
36907,Sumter,Cuba,Alabama
36908,Choctaw,Gilbertown,Alabama
36910,Choctaw,Jachin,Alabama
36912,Choctaw,Lisman,Alabama
36913,Choctaw,Melvin,Alabama
36915,Choctaw,Needham,Alabama
36916,Choctaw,Pennington,Alabama
36919,Choctaw,Silas,Alabama
36921,Choctaw,Toxey,Alabama
36922,Choctaw,Ward,Alabama
36925,Sumter,York,Alabama
99501,Anchorage,Anchorage,Alaska
99502,Anchorage,Anchorage,Alaska
99503,Anchorage,Anchorage,Alaska
99504,Anchorage,Anchorage,Alaska
99505,Anchorage,Jber,Alaska
99506,Anchorage,Jber,Alaska
99507,Anchorage,Anchorage,Alaska
99508,Anchorage,Anchorage,Alaska
99510,North Slope,Anchorage,Alaska
99513,Anchorage,Anchorage,Alaska
99515,Anchorage,Anchorage,Alaska
99516,Anchorage,Anchorage,Alaska
99517,Anchorage,Anchorage,Alaska
99518,Anchorage,Anchorage,Alaska
99519,North Slope,Anchorage,Alaska
99540,Anchorage,Indian,Alaska
99546,Aleutians West,Adak,Alaska
99547,Aleutians West,Atka,Alaska
99548,Lake and Peninsula,Chignik Lake,Alaska
99549,Lake and Peninsula,Port Heiden,Alaska
99550,Kodiak Island,Port Lions,Alaska
99551,Bethel,Akiachak,Alaska
99552,Bethel,Akiak,Alaska
99553,Aleutians East,Akutan,Alaska
99554,Wade Hampton,Alakanuk,Alaska
99555,Dillingham,Aleknagik,Alaska
99556,Kenai Peninsula,Anchor Point,Alaska
99557,Bethel,Aniak,Alaska
99558,Yukon-Koyukuk,Anvik,Alaska
99559,Bethel,Bethel,Alaska
99561,Bethel,Chefornak,Alaska
99563,Wade Hampton,Chevak,Alaska
99564,Lake and Peninsula,Chignik,Alaska
99565,Lake and Peninsula,Chignik Lagoon,Alaska
99566,Valdez-Cordova,Chitina,Alaska
99567,Anchorage,Chugiak,Alaska
99568,Kenai Peninsula,Clam Gulch,Alaska
99569,Dillingham,Clarks Point,Alaska
99571,Aleutians East,Cold Bay,Alaska
99572,Kenai Peninsula,Cooper Landing,Alaska
99573,Valdez-Cordova,Copper Center,Alaska
99574,Valdez-Cordova,Cordova,Alaska
99575,Bethel,Crooked Creek,Alaska
99576,Dillingham,Dillingham,Alaska
99577,Anchorage,Eagle River,Alaska
99578,Bethel,Eek,Alaska
99579,Lake and Peninsula,Egegik,Alaska
99580,Dillingham,Ekwok,Alaska
99581,Wade Hampton,Emmonak,Alaska
99583,Aleutians East,False Pass,Alaska
99585,Wade Hampton,Marshall,Alaska
99586,Valdez-Cordova,Gakona,Alaska
99587,Anchorage,Girdwood,Alaska
99588,Valdez-Cordova,Glennallen,Alaska
99589,Bethel,Goodnews Bay,Alaska
99590,Yukon-Koyukuk,Grayling,Alaska
99591,Aleutians West,Saint George Island,Alaska
99602,Yukon-Koyukuk,Holy Cross,Alaska
99603,Kenai Peninsula,Homer,Alaska
99604,Wade Hampton,Hooper Bay,Alaska
99605,Kenai Peninsula,Hope,Alaska
99606,Lake and Peninsula,Iliamna,Alaska
99607,Bethel,Kalskag,Alaska
99609,Bethel,Kasigluk,Alaska
99610,Kenai Peninsula,Kasilof,Alaska
99611,Kenai Peninsula,Kenai,Alaska
99612,Aleutians East,King Cove,Alaska
99613,Bristol Bay,King Salmon,Alaska
99614,Bethel,Kipnuk,Alaska
99615,Kodiak Island,Kodiak,Alaska
99620,Wade Hampton,Kotlik,Alaska
99621,Bethel,Kwethluk,Alaska
99622,Bethel,Kwigillingok,Alaska
99624,Kodiak Island,Larsen Bay,Alaska
99625,Lake and Peninsula,Levelock,Alaska
99626,Bethel,Lower Kalskag,Alaska
99627,Yukon-Koyukuk,Mc Grath,Alaska
99628,Dillingham,Manokotak,Alaska
99630,Bethel,Mekoryuk,Alaska
99631,Kenai Peninsula,Moose Pass,Alaska
99632,Wade Hampton,Mountain Village,Alaska
99633,Bristol Bay,Naknek,Alaska
99634,Bethel,Napakiak,Alaska
99636,Dillingham,New Stuyahok,Alaska
99637,Bethel,Toksook Bay,Alaska
99638,Aleutians West,Nikolski,Alaska
99639,Kenai Peninsula,Ninilchik,Alaska
99640,Lake and Peninsula,Nondalton,Alaska
